text	label
خیلی کوچیک هستن و سایزشون بدرد نمیخوره میخوام پس بدم	SAD
از صدای پرنده دم دمای صبح متنفرم متنفرم متنفرم	HATE
" ""کیفیتش خیلی خوبه با شک خریدم ولی واقعا راضیم بعد از حدود 2 ماه استفاده«متأسفانه باخبر شدیم» که فردی در ایرانشهر به حداقل 41 دختر تجاوز کرده. امیدواریم با همکاری نمایندگان محترم مجلس و دستگاه قضا، دیگه به این راحتی باخبر نشیم."	SAD
چون همش با دوربین ثبت شده ، ایا میشه اعتراض زد؟؟ و اصن تاثیر داره؟ کسی اگه اطلاعی داره ممنون میشم راهنمایی کنید	OTHER
اين وضع ب طرز خنده داري گريه داره ...	SAD
خب من رسما از یک نفر متنفرم،چون از گربه بدش میاد از صبح شروع کرده رو مخ من راه رفتن؛شپش میگیری،کزاز میگیری،کک داره ،درد داره،مرض داره و اینقدر تکرار کرده که تا سرم میخاره میپرم جلوی آینه نگاه میکنم یه وقت شپش نگرفته باشم... عوضی ازش متنفرم بهش گفته بودم منو رو یه چیزی حساس نکن	HATE
داشتم خواب میدیدم یهو توی خواب گفتم بیاین درینک بزنیم خواب ترسناک ببینیم ی پیک زدیم و دقیقا همونطور شد و من با ضربان ۱۱۰ از خواب پریدم و ساعت ۴ صبحه؟ ذهن بیمارتر از منم دیدین؟ ژانر شنگول منگول خوابمو چرا عوض کردم چرااا	FEAR
"اصلا ارزش خرید نداره فقط رو مخ میره"""	ANGRY
اونجایه آدمه مفعول ودروغگو...عجب خرایی داریم واقعا...روز روشن میگه شبه!!!اسم اینوچی میشه گذاشت دیگه؟من دسترسی ندارم بهش میخام بگم یه اسمی خودت بگوبرات بذاریم البته آخرش یه ...کش داشته باشه!	ANGRY
"من این گوشی رو اعصابم بهم ریخت کوبیدم تودیوار له شده السیدیش اما هنوزم کارمیکنه حرف نداره گوشیش"""	HAPPY
تا این مفسد فی الارض به سزای اعمالش نرسه و ۲۰۰ هزار تومن جریمه نشه من آروم نمی گیریم #سعید_طوسی	ANGRY
فاجعه فقط به زیرگرفتن ختم نشده طبق گزارش پزشکی قانونی، حدود۵۰ تیرساچمهای در #سینه یکی از #شهدای_فاطمیه ثبت شده است. #شهید_محمدحسین_حدادیان #دراویش_داعشی وحشی	SAD
اگر در دولت احمدینژاد اتفاق میافتاد انقدر عصبانی نمیشدم؛ اما باید بگویم سایت و اپ #گودریدز در دولت تدبیر و امید #فیلتر شده است. احسنت آقای #روحانی. احسنت وزیرِ جوان؛ آقای #جهرمی . #goodreads   #وحید_آنلاین	ANGRY
پوست لبمو هرچی میکنم باز کنده میشه و تا ثریا میره. نه اون جور با کیف و لذت. اون جور ترسناک و سوزاننده	FEAR
چرا چهار صبح باید مطلب خوندن درباره آمار تجاوز تو دنیا برام انقدر جذابیت پیدا کنه؟؟	SURPRISE
بچه که بودم خواهرم از بانک که میومد چند ساعتی میخوابید بهش اعتراض میکردم چرا انقد میخوابی میگفت تو دنیا هیچی لذت بخش تر از خواب نیست.. الان به حرفش رسیدم	HAPPY
